datetime,T_mu
2016-01-01,32.3
2016-01-02,32.5
2016-01-03,33.5
2016-01-04,33.5
2016-01-05,33.8
2016-01-06,34
2016-01-07,33.8
2016-01-08,33.8
2016-01-09,32.7
2016-01-10,32.2
2016-01-11,31.5
2016-01-12,32.2
2016-01-13,32.3
2016-01-14,33.3
2016-01-15,34.3
2016-01-16,34.2
2016-01-17,32.5
2016-01-18,33.7
2016-01-19,34.2
2016-01-20,35
2016-01-21,35.5
2016-01-22,36.3
2016-01-23,36.8
2016-01-24,27
2016-01-25,15.5
2016-01-27,17.8
2016-01-28,27.7
2016-01-29,32.3
2016-01-30,33.7
2016-01-31,34.8
2016-02-01,35
2016-02-02,34.5
2016-02-03,34.2
2016-02-04,34.7
2016-02-05,34.8
2016-02-06,29.8
2016-02-07,27.3
2016-02-08,29.7
2016-02-09,31.2
2016-02-10,33
2016-02-11,34.2
2016-02-12,35.2
2016-02-13,36.7
2016-02-14,37.3
2016-02-15,37.7
2016-02-16,37.5
2016-02-17,37.2
2016-02-18,37.3
2016-02-19,38
2016-02-20,37.3
2016-02-21,35.7
2016-02-22,37.2
2016-02-23,37.8
2016-02-24,35.7
2016-02-25,32
2016-02-26,27.8
2016-02-27,31.7
2016-02-28,32.7
2016-02-29,34.3
2016-03-01,34.3
2016-03-02,35.2
2016-03-03,36.5
2016-03-04,37.5
2016-03-05,38.2
2016-03-06,38.2
2016-03-07,39.5
2016-03-08,40
2016-03-09,40
2016-03-10,40
2016-03-11,39.8
2016-03-12,38.5
2016-03-13,40
2016-03-14,40
2016-03-15,40
2016-03-16,40
2016-03-17,40
2016-03-18,40
2016-03-19,40
2016-03-20,40
2016-03-21,40
2016-03-22,40
2016-03-23,40
2016-03-24,40
2016-03-25,37.3
2016-03-26,38
2016-03-27,37.3
2016-03-28,38.3
2016-03-29,38
2016-03-30,38.5
2016-03-31,40
2016-04-01,39.2
2016-04-02,39.2
2016-04-03,40
2016-04-04,40
2016-04-05,40
2016-04-07,40
2016-04-08,40
2016-04-09,39.5
2016-04-10,40
2016-04-11,40
2016-04-12,40
2016-04-13,40
2016-04-14,40
2016-04-15,40
2016-04-16,40
2016-04-17,40
2016-04-18,40
2016-04-19,40
2016-04-20,40
2016-04-21,40
2016-04-22,39.5
2016-04-23,40
2016-04-24,40
2016-04-25,40
2016-04-26,40
2016-04-27,40
2016-04-28,40
2016-04-29,38
2016-04-30,34.5
2016-05-01,40
2016-05-02,40
2016-05-03,40
2016-05-04,38.8
2016-05-05,40
2016-05-06,40
2016-05-07,40
2016-05-08,40
2016-05-09,40
2016-05-10,40
2016-05-11,40
2016-05-12,40
2016-05-13,40
2016-05-14,40
2016-05-15,38.5
2016-05-16,39
2016-05-17,39.8
2016-05-18,38.3
2016-05-19,37.2
2016-05-20,37.3
2016-05-21,35.5
2016-05-22,32.8
2016-05-23,35.7
2016-05-24,36.2
2016-05-25,35.7
2016-05-26,38.3
2016-05-27,38.2
2016-05-28,38
2016-05-29,35.5
2016-05-30,32.8
2016-05-31,35.3
2016-06-01,33.3
2016-06-02,33.5
2016-06-03,36.3
2016-06-04,35
2016-06-05,36
2016-06-06,36.3
2016-06-07,34.5
2016-06-08,34.2
2016-06-09,34.3
2016-06-10,33
2016-06-11,30.5
2016-06-12,34
2016-06-13,34.2
2016-06-14,33.8
2016-06-15,34.8
2016-06-16,37
2016-06-17,34.8
2016-06-18,34.7
2016-06-19,37.8
2016-06-20,37
2016-06-21,36.8
2016-06-22,37.7
2016-06-23,36.2
2016-06-24,34.5
2016-06-25,34.3
2016-06-26,35.8
2016-06-27,37.3
2016-06-28,39
2016-06-29,37
2016-06-30,32.3
2016-07-01,33.5
2016-07-02,32.8
2016-07-03,32.8
2016-07-04,33.3
2016-07-05,28.7
2016-07-06,28.5
2016-07-07,31.5
2016-07-08,33.7
2016-07-09,32.8
2016-07-10,33.8
2016-07-11,34.2
2016-07-12,34.7
2016-07-13,35.7
2016-07-14,33.5
2016-07-15,34.5
2016-07-16,35.8
2016-07-17,37.2
2016-07-18,37.8
2016-07-19,36.3
2016-07-20,34.8
2016-07-21,31.8
2016-07-22,35
2016-07-23,34.3
2016-07-24,32.3
2016-07-25,36.3
2016-07-26,37.5
2016-07-27,37.2
2016-07-28,35.7
2016-07-29,32.3
2016-07-30,32.2
2016-07-31,33.5
2016-08-01,34.3
2016-08-02,35.7
2016-08-03,35.7
2016-08-04,34.5
2016-08-05,32.8
2016-08-06,33.3
2016-08-07,34.8
2016-08-08,35.2
